pattern,leetcode_slug_or_number
HashMap,1
Two Pointer,15
Two Pointer,11
Two Pointer,167
Two Pointer,125
Fast and Slow Pointer,141
Fast and Slow Pointer,142
Fast and Slow Pointer,876
Fast and Slow Pointer,287
Sliding Window,3
Sliding Window,76
Sliding Window,424
Sliding Window,209
Sliding Window,239
Merge Intervals,56
Intervals,57
Intervals,435
Intervals,252
Intervals,253
Prefix Sum,560
Prefix Sum,525
Prefix Sum,238
Kadane's Pattern,53
Kadane's Pattern,918
Kadane's Pattern,152
In-place Reversal of LinkedList,206
In-place Reversal of LinkedList,92
In-place Reversal of LinkedList,25
Dummy Node,21
Dummy Node,19
Dummy Node,2
Dummy Node,23
Stack,20
Stack,71
Stack,150
Stack,155
Monotonic Stack,84
Monotonic Stack,739
Monotonic Stack,503
Monotonic Stack,42
Monotonic Stack,901
HashMap,49
HashMap,128
HashMap,383
Heap,215
Heap,347
Heap,295
Heap,703
Binary Search,704
Binary Search,33
Binary Search,153
Binary Search,74
Binary Search,875
Backtracking,78
Backtracking,90
Backtracking,46
Backtracking,39
Backtracking,51
Backtracking,79
BFS,102
BFS,107
BFS,103
BFS,127
DFS,200
DFS,695
DFS,104
DFS,226
DFS,100
DFS,124
Topological Sort,207
Topological Sort,210
Topological Sort,269
Dynamic Programming,70
Dynamic Programming,198
Dynamic Programming,213
Dynamic Programming,300
Dynamic Programming,322
Dynamic Programming,1143
Dynamic Programming,72
Greedy,55
Greedy,45
Greedy,134
Greedy,763
Trie,208
Trie,211
Trie,212
Union Find,547
Union Find,684
Union Find,323
Bit Manipulation,136
Bit Manipulation,191
Bit Manipulation,338
Bit Manipulation,268
Matrix Traversal,54
Matrix Traversal,48
Matrix Traversal,73
Basics,66
Basics,9
Basics,13
Basics,14
Basics,26
Basics,27
Basics,28
Basics,35
Basics,58
Basics,67
Basics,69
Basics,88
Basics,121
Basics,169
Basics,217
Basics,242
Basics,283
Basics,387
Basics,412
